 name          msafips   dism1990    isol1990
 "lakelafl"       3980   .56792194   .3327272
 "lancaspa"       4000   .65631658   .1516226
 "lansinmi"       4040   .55274761   .1723033
 "lascrunm"       4100   .37487583   .0348426
 "lasvegnv"       4120   .46847185   .2705727
 "lawrenks"       4150   .26592632   .0199971
 "lawrenma"       4160   .55822975    .046032
 "lawtonok"       4200   .32887154    .138607
 "lexingky"       4280   .53941796   .2902157
   "limaoh"       4320     .658021   .3178281
 "lincolne"       4360   .44382346   .0534586
 "littlear"       4400   .60514732   .4037277
 "longvitx"       4420    .4644775   .2422328
 "lorainoh"       4440   .55369322   .1687831
 "losangca"       4480   .64121192   .3645721
 "louisvky"       4520   .69426591   .5200229
 "lowellma"       4560   .41997716   .0145715
 "lubboctx"       4600   .54428734   .3143711
 "lynchbva"       4640   .40276521   .2334393
  "maconga"       4680    .5253036   .3577234
 "madisowi"       4720   .48876666   .0697599
 "manchenh"       4760    .4471238   .0098381
 "mansfioh"       4800   .68826936   .3048256
 "mcalletx"       4880   .50028441   .0053978
 "melboufl"       4900   .52288494   .2274109
 "memphitn"       4920   .69135986   .5727691
 "mercedca"       4940   .34144754    .030233
  "miamifl"       5000   .70335375   .5169978
 "middlect"       5020   .44871978   .0719959
 "middlenj"       5015   .52293695   .1639028
 "midlantx"       5040   .55305345   .2090206
 "milwauwi"       5080   .82042723   .6487262
 "minneamn"       5120   .61204401   .2255221
 "mobileal"       5160   .65765533   .5330618
 "modestca"       5170   .38375621   .0169339
 "monmounj"       5190   .65768625   .3319131
 "monroela"       5200   .71117951   .5965354
 "montgoal"       5240   .59668927   .4344388
 "munciein"       5280   .62737548   .4252703
 "muskegmi"       5320   .76662816   .4822527
 "naplesfl"       5345   .59949387   .3048543
 "nashuanh"       5350   .35438875   .0081279
 "nashvitn"       5360   .60430649   .4330995
 "nassauny"       5380     .742692   .4314694
 "newarknj"       5640   .77983914   .6222516
 "newbedma"       5400   .52843015   .0515566
 "newbrict"       5440   .46996051   .0534583
 "newhavct"       5480   .66596915   .3656492
 "newlonct"       5520   .49634703   .0918122
 "neworlla"       5560   .67765203   .5387553
 "newyorny"       5600   .69129967   .5212383
 "niagarny"       5700   .66596382   .3241559
 "norfolva"       5720   .49196028   .3609439
 "norwalct"       5760   .55676695   .2165633
 "oaklanca"       5775    .6158477   .3728316
  "ocalafl"       5790   .51966408   .3152913
 "odessatx"       5800    .4205096   .1423618
 "oklahook"       5880   .59536378   .3657079
 "olympiwa"       5910   .43489845   .0231782
  "omahane"       5920   .70577488   .4226168
 "orangeny"       5950   .51614028   .1861771
 "orlandfl"       5960   .59504759   .3974793
 "owensbky"       5990   .57958658   .1246557
 "oxnardca"       6000   .39134701   .0247044
 "panamafl"       6015   .54655647   .2861708
